policy_id,customer_id,channel,policy_type,region,application_date,premium_amount,status,processing_time_hours,failure_reason,issuance_date
POL100019,76101,Online,Auto,East,2025-01-01 13:00:00,11365.14,Issued,25.25,,2025-01-02 14:15:15.194195
POL100020,22433,Online,Health,Central,2025-12-19 03:00:00,8904.8,Issued,41.1,,2025-12-20 20:06:10.785081
POL100021,25311,Mobile App,Health,East,2025-10-25 02:00:00,9628.23,Issued,26.1,,2025-10-26 04:06:15.941806
POL100022,57819,Call Center,Property,North,2025-02-17 17:00:00,15146.76,Issued,82.65,,2025-02-21 03:38:43.465597
POL100023,59188,Mobile App,Auto,South,2025-03-30 11:00:00,11548.14,Issued,6.51,,2025-03-30 17:30:49.174597
POL100024,37568,Agent/Broker,Life,South,2025-11-12 20:00:00,34384.1,Issued,40.2,,2025-11-14 12:11:50.496236
POL100025,73707,Online,Life,East,2025-01-09 23:00:00,18455.23,Pending,,,
POL100026,39769,Online,Auto,South,2025-05-28 04:00:00,8878.92,Failed,,Incomplete Application,
POL100027,48693,Online,Property,Central,2025-01-27 04:00:00,19143.04,Issued,10.91,,2025-01-27 14:54:29.248153
POL100028,26396,Online,Health,South,2025-07-18 18:00:00,11048.86,Issued,1.0,,2025-07-18 19:00:00.000000
POL100029,47480,Online,Health,South,2025-02-23 21:00:00,15336.24,Issued,48.65,,2025-02-25 21:38:59.566917
POL100030,61434,Online,Auto,South,2025-03-23 14:00:00,7966.24,Failed,,KYC Verification Failed,
POL100031,45658,Agent/Broker,Auto,West,2025-09-10 00:00:00,7353.96,Pending,,,
POL100032,38942,Online,Health,East,2025-12-25 18:00:00,12168.62,Issued,27.65,,2025-12-26 21:39:00.793365
POL100033,77001,Mobile App,Auto,North,2025-02-09 04:00:00,11685.13,Issued,23.63,,2025-02-10 03:37:35.871626
POL100034,38431,Mobile App,Health,North,2025-07-16 04:00:00,17090.83,Issued,31.44,,2025-07-17 11:26:07.284462
POL100035,22747,Mobile App,Auto,West,2025-06-20 06:00:00,11449.29,Issued,23.04,,2025-06-21 05:02:23.034286
POL100036,78319,Mobile App,Health,West,2025-01-02 16:00:00,17206.84,Issued,14.33,,2025-01-03 06:19:30.864212
POL100037,79150,Online,Health,North,2025-02-21 04:00:00,10111.43,Issued,44.42,,2025-02-23 00:25:25.087639
POL100038,20189,Online,Auto,Central,2025-04-13 00:00:00,11334.79,Failed,,Underwriting Rejection,
POL100039,39118,Agent/Broker,Health,North,2025-09-22 10:00:00,10437.85,Issued,24.51,,2025-09-23 10:30:47.373916
POL100040,55773,Call Center,Health,North,2025-03-17 09:00:00,16446.1,Pending,,,
POL100041,73810,Online,Auto,East,2025-02-23 10:00:00,9068.15,Issued,25.3,,2025-02-24 11:17:55.851901
POL100042,21899,Online,Auto,North,2025-04-07 19:00:00,7135.76,Issued,31.28,,2025-04-09 02:16:38.125885
POL100043,76886,Call Center,Auto,North,2025-01-05 14:00:00,8150.53,Issued,90.41,,2025-01-09 08:24:48.455359
POL100044,21267,Online,Auto,South,2025-10-07 21:00:00,8373.62,Issued,16.48,,2025-10-08 13:28:55.573017
POL100045,51551,Mobile App,Property,West,2025-10-14 09:00:00,19298.06,Pending,,,
POL100046,70680,Mobile App,Health,North,2025-02-13 13:00:00,14217.81,Issued,23.64,,2025-02-14 12:38:26.660723
POL100047,31394,Online,Auto,North,2025-10-07 21:00:00,10827.41,Issued,3.87,,2025-10-08 00:52:15.772413
POL100048,23556,Mobile App,Auto,Central,2025-09-25 17:00:00,8139.55,Failed,,Incomplete Application,
POL100049,23890,Mobile App,Auto,North,2025-12-07 18:00:00,10358.98,Issued,34.42,,2025-12-09 04:24:56.780312
POL100050,61606,Online,Health,East,2025-08-16 18:00:00,16010.92,Failed,,Underwriting Rejection,
POL100051,50740,Mobile App,Auto,Central,2025-04-27 13:00:00,6004.12,Issued,13.95,,2025-04-28 02:57:03.445460
POL100052,34502,Agent/Broker,Health,North,2025-03-13 22:00:00,12006.13,Failed,,Document Mismatch,
POL100053,41777,Mobile App,Auto,East,2025-07-06 03:00:00,11270.33,Failed,,Incomplete Application,
POL100054,30627,Online,Life,West,2025-09-12 11:00:00,31599.52,Issued,20.19,,2025-09-13 07:11:40.678206
POL100055,28792,Mobile App,Auto,North,2025-06-27 11:00:00,8278.06,Issued,5.34,,2025-06-27 16:20:35.708896
POL100056,63323,Agent/Broker,Health,West,2025-03-23 03:00:00,10156.55,Issued,79.92,,2025-03-26 10:55:03.260460
POL100057,63021,Agent/Broker,Life,North,2025-01-19 15:00:00,19432.22,Issued,56.04,,2025-01-21 23:02:09.101836
POL100058,28433,Mobile App,Health,Central,2025-09-12 20:00:00,10601.77,Issued,27.18,,2025-09-13 23:11:05.878334
POL100059,63001,Online,Life,Central,2025-02-04 16:00:00,22393.85,Issued,10.6,,2025-02-05 02:35:54.043699
POL100060,31016,Agent/Broker,Health,East,2025-06-04 02:00:00,11958.35,Issued,19.22,,2025-06-04 21:13:02.143839
POL100061,43897,Agent/Broker,Health,South,2025-08-18 18:00:00,10098.45,Issued,1.0,,2025-08-18 19:00:00.000000
POL100062,22612,Online,Health,East,2025-12-27 18:00:00,9802.06,Issued,43.04,,2025-12-29 13:02:27.797479
POL100063,76193,Mobile App,Property,North,2025-02-12 02:00:00,20628.08,Issued,22.82,,2025-02-13 00:49:29.946364
POL100064,78707,Online,Health,West,2025-01-15 15:00:00,10795.57,Issued,41.51,,2025-01-17 08:30:39.060920
POL100065,75387,Agent/Broker,Property,West,2025-12-21 04:00:00,17239.26,Issued,24.97,,2025-12-22 04:58:22.412253
POL100066,74638,Online,Auto,North,2025-07-18 20:00:00,6875.52,Issued,24.65,,2025-07-19 20:38:50.944528
POL100067,43483,Mobile App,Health,South,2025-06-18 21:00:00,13120.83,Issued,20.05,,2025-06-19 17:02:46.607405
POL100068,78822,Call Center,Property,South,2025-07-12 18:00:00,13820.54,Issued,58.83,,2025-07-15 04:49:53.050693
POL100069,68555,Agent/Broker,Auto,South,2025-03-29 13:00:00,6155.52,Issued,45.14,,2025-03-31 10:08:21.664397
POL100070,79900,Call Center,Property,North,2025-11-12 14:00:00,22286.11,Issued,65.29,,2025-11-15 07:17:29.590866
POL100071,37159,Call Center,Auto,Central,2025-08-15 23:00:00,8529.96,Failed,,Duplicate Policy,
POL100072,64974,Online,Property,Central,2025-06-26 13:00:00,15216.57,Issued,8.86,,2025-06-26 21:51:41.789438
POL100073,60994,Mobile App,Health,North,2025-08-02 06:00:00,10311.57,Issued,13.84,,2025-08-02 19:50:18.658085
POL100074,34541,Mobile App,Auto,Central,2025-09-21 15:00:00,8770.34,Failed,,KYC Verification Failed,
POL100075,55920,Call Center,Property,South,2025-03-21 13:00:00,18122.63,Failed,,Payment Failure,
POL100076,46531,Online,Auto,Central,2025-03-22 04:00:00,7549.76,Issued,48.43,,2025-03-24 04:25:44.731253
POL100077,21585,Call Center,Auto,North,2025-10-24 02:00:00,8674.68,Issued,79.68,,2025-10-27 09:40:55.306648
POL100078,23943,Mobile App,Auto,Central,2025-06-30 21:00:00,7117.32,Issued,23.43,,2025-07-01 20:25:57.303814
POL100079,43939,Agent/Broker,Health,Central,2025-06-14 19:00:00,13466.05,Issued,86.47,,2025-06-18 09:28:12.363775
POL100080,39457,Online,Property,Central,2025-01-18 20:00:00,19946.57,Failed,,Payment Failure,
POL100081,21021,Online,Auto,Central,2025-09-13 09:00:00,5985.37,Issued,52.49,,2025-09-15 13:29:27.021459
POL100082,31653,Agent/Broker,Health,North,2025-11-17 16:00:00,13371.25,Issued,2.97,,2025-11-17 18:57:56.906617
POL100083,63573,Online,Auto,East,2025-05-16 19:00:00,8155.92,Issued,30.51,,2025-05-18 01:30:30.731358
POL100084,33417,Agent/Broker,Life,Central,2025-08-29 17:00:00,18980.83,Issued,44.85,,2025-08-31 13:50:43.496046
POL100085,72995,Online,Auto,East,2025-12-23 06:00:00,11619.26,Issued,36.21,,2025-12-24 18:12:30.172889
POL100086,60757,Agent/Broker,Auto,North,2025-11-13 04:00:00,7263.0,Issued,21.74,,2025-11-14 01:44:31.103965
POL100087,29692,Mobile App,Auto,West,2025-07-06 09:00:00,9213.51,Issued,32.1,,2025-07-07 17:05:53.023946
POL100088,65758,Mobile App,Health,East,2025-07-10 05:00:00,11977.15,Issued,7.68,,2025-07-10 12:40:53.159107
POL100089,26873,Agent/Broker,Property,North,2025-09-20 02:00:00,13753.59,Issued,81.43,,2025-09-23 11:25:51.265478
POL100090,25675,Online,Health,West,2025-12-13 09:00:00,13460.93,Issued,51.77,,2025-12-15 12:46:23.084855
POL100091,20161,Online,Auto,Central,2025-08-01 23:00:00,10009.78,Issued,21.93,,2025-08-02 20:55:58.746058
POL100092,57065,Online,Health,North,2025-10-12 05:00:00,15941.14,Issued,25.32,,2025-10-13 06:19:06.283400
POL100093,46557,Mobile App,Life,South,2025-09-15 01:00:00,30178.49,Issued,11.77,,2025-09-15 12:46:01.740849
POL100094,53763,Mobile App,Auto,West,2025-10-21 17:00:00,8968.29,Issued,19.76,,2025-10-22 12:45:49.038137
POL100095,52606,Agent/Broker,Auto,South,2025-04-16 06:00:00,10574.47,Issued,43.14,,2025-04-18 01:08:14.519594
POL100096,31534,Mobile App,Auto,Central,2025-06-26 03:00:00,8911.72,Issued,14.45,,2025-06-26 17:27:12.043248
POL100097,49127,Mobile App,Life,Central,2025-12-30 07:00:00,36984.54,Issued,16.78,,2025-12-30 23:46:44.062327
POL100098,60397,Mobile App,Health,East,2025-10-24 09:00:00,13456.71,Failed,,Duplicate Policy,
POL100099,45851,Online,Health,Central,2025-12-27 23:00:00,11445.57,Issued,58.09,,2025-12-30 09:05:36.293815
POL100100,21016,Online,Auto,East,2025-10-19 15:00:00,8456.72,Issued,39.4,,2025-10-21 06:23:43.303820
POL100101,44253,Call Center,Auto,West,2025-10-04 22:00:00,8735.94,Issued,30.4,,2025-10-06 04:23:56.777672
POL100102,75591,Call Center,Property,South,2025-03-26 04:00:00,13901.83,Issued,34.78,,2025-03-27 14:46:44.674596
POL100103,44276,Online,Auto,West,2025-08-15 21:00:00,6615.95,Issued,4.29,,2025-08-16 01:17:28.278646
POL100104,43247,Mobile App,Property,South,2025-11-11 03:00:00,15676.6,Issued,20.0,,2025-11-11 22:59:42.197541
POL100105,44300,Agent/Broker,Health,North,2025-11-26 01:00:00,17011.52,Issued,19.93,,2025-11-26 20:55:31.216255
POL100106,28529,Mobile App,Auto,West,2025-02-21 21:00:00,7235.4,Issued,7.94,,2025-02-22 04:56:13.914983
POL100107,37262,Online,Health,North,2025-05-22 23:00:00,11873.46,Issued,36.23,,2025-05-24 11:13:33.186235
POL100108,29268,Online,Property,South,2025-02-06 18:00:00,19592.68,Issued,22.62,,2025-02-07 16:37:27.614290
POL100109,41271,Mobile App,Health,East,2025-10-15 19:00:00,9189.82,Issued,24.42,,2025-10-16 19:25:04.699466
POL100110,32185,Call Center,Property,West,2025-05-06 20:00:00,20400.85,Issued,83.34,,2025-05-10 07:20:31.301037
POL100111,41243,Agent/Broker,Auto,West,2025-12-03 11:00:00,10209.78,Issued,42.08,,2025-12-05 05:04:37.718095
POL100112,59099,Online,Health,East,2025-07-04 12:00:00,13677.74,Issued,33.74,,2025-07-05 21:44:30.788519
POL100113,28571,Online,Life,East,2025-02-21 23:00:00,21689.58,Issued,15.32,,2025-02-22 14:19:15.399263
POL100114,77836,Agent/Broker,Property,Central,2025-12-07 15:00:00,11612.14,Issued,42.11,,2025-12-09 09:06:40.380295
POL100115,59976,Agent/Broker,Health,Central,2025-12-01 10:00:00,10624.5,Issued,43.22,,2025-12-03 05:13:25.632386
POL100116,58044,Mobile App,Health,South,2025-04-11 17:00:00,15710.35,Issued,21.71,,2025-04-12 14:42:39.961393
POL100117,71214,Mobile App,Auto,West,2025-07-24 10:00:00,11574.37,Issued,6.94,,2025-07-24 16:56:19.072492
POL100118,69216,Online,Auto,East,2025-06-24 06:00:00,10322.48,Pending,,,
POL100119,68984,Agent/Broker,Auto,East,2025-05-06 11:00:00,8976.75,Issued,41.06,,2025-05-08 04:03:45.565809
POL100120,60774,Agent/Broker,Auto,North,2025-09-08 05:00:00,11684.37,Issued,50.81,,2025-09-10 07:48:25.999392
POL100121,22568,Online,Auto,Central,2025-04-22 07:00:00,10902.83,Issued,18.26,,2025-04-23 01:15:21.735178
POL100122,74615,Agent/Broker,Auto,North,2025-08-06 11:00:00,9797.36,Issued,40.08,,2025-08-08 03:04:48.242673
POL100123,22027,Online,Property,East,2025-07-11 18:00:00,10954.86,Pending,,,
POL100124,22695,Online,Health,West,2025-03-28 15:00:00,11162.24,Issued,21.33,,2025-03-29 12:19:57.747293
POL100125,78839,Online,Health,West,2025-12-22 19:00:00,11358.82,Issued,30.83,,2025-12-24 01:49:30.519369
POL100126,68190,Online,Property,North,2025-03-21 06:00:00,14666.94,Issued,19.84,,2025-03-22 01:50:31.843959
POL100127,25258,Online,Auto,Central,2025-09-08 12:00:00,8092.07,Failed,,Duplicate Policy,
POL100128,42002,Mobile App,Health,South,2025-02-24 11:00:00,17417.95,Issued,18.3,,2025-02-25 05:17:52.426123
POL100129,59504,Mobile App,Health,West,2025-12-13 00:00:00,15521.98,Failed,,Underwriting Rejection,
POL100130,53159,Mobile App,Auto,South,2025-06-08 10:00:00,10028.38,Issued,25.48,,2025-06-09 11:28:33.888070
POL100131,33986,Online,Life,Central,2025-08-18 01:00:00,26030.3,Issued,43.52,,2025-08-19 20:31:22.549608
POL100132,32666,Online,Auto,North,2025-03-08 01:00:00,7760.32,Issued,30.13,,2025-03-09 07:07:49.580140
POL100133,58660,Mobile App,Auto,Central,2025-04-24 23:00:00,6365.3,Issued,5.11,,2025-04-25 04:06:43.019508
POL100134,23561,Mobile App,Auto,East,2025-01-13 21:00:00,8502.37,Issued,8.15,,2025-01-14 05:08:45.413828
POL100135,46854,Online,Property,Central,2025-05-27 20:00:00,12964.11,Failed,,Document Mismatch,
POL100136,58952,Call Center,Health,North,2025-08-10 06:00:00,12153.7,Issued,86.71,,2025-08-13 20:42:31.092208
POL100137,72251,Agent/Broker,Health,North,2025-01-21 15:00:00,9901.36,Issued,43.0,,2025-01-23 09:59:42.274919
POL100138,42662,Call Center,Health,Central,2025-08-03 15:00:00,11702.36,Issued,74.31,,2025-08-06 17:18:40.745454
POL100139,28392,Mobile App,Auto,North,2025-12-06 15:00:00,5875.07,Issued,38.21,,2025-12-08 05:12:28.356734
POL100140,50535,Online,Health,East,2025-03-19 21:00:00,8457.82,Issued,43.66,,2025-03-21 16:39:31.534684
POL100141,33067,Agent/Broker,Health,South,2025-12-27 03:00:00,16751.13,Issued,76.23,,2025-12-30 07:13:55.537855
POL100142,68033,Online,Auto,Central,2025-03-17 16:00:00,9704.09,Failed,,Underwriting Rejection,
POL100143,72256,Mobile App,Health,North,2025-01-31 07:00:00,14041.6,Issued,14.1,,2025-01-31 21:06:15.732595
POL100144,43599,Online,Auto,South,2025-11-20 07:00:00,8888.28,Issued,35.19,,2025-11-21 18:11:23.097801
POL100145,55222,Agent/Broker,Auto,East,2025-10-10 08:00:00,10251.07,Issued,51.4,,2025-10-12 11:23:42.020087
POL100146,31837,Online,Life,Central,2025-12-15 15:00:00,32223.31,Pending,,,
POL100147,34039,Call Center,Health,North,2025-07-19 14:00:00,17378.41,Issued,43.47,,2025-07-21 09:27:57.311190
POL100148,78148,Call Center,Health,South,2025-04-23 12:00:00,10746.34,Issued,54.26,,2025-04-25 18:15:35.598384
POL100149,50818,Mobile App,Health,East,2025-03-01 14:00:00,15937.91,Issued,38.47,,2025-03-03 04:28:25.585593
POL100150,39115,Agent/Broker,Auto,West,2025-07-07 08:00:00,11943.41,Issued,83.76,,2025-07-10 19:45:41.128377
POL100151,30965,Mobile App,Health,North,2025-12-30 21:00:00,8678.61,Issued,29.51,,2026-01-01 02:30:43.414745
POL100152,44538,Agent/Broker,Life,East,2025-02-24 18:00:00,24979.71,Issued,43.04,,2025-02-26 13:02:21.822393
POL100153,62530,Mobile App,Health,South,2025-06-02 08:00:00,12585.94,Issued,18.15,,2025-06-03 02:09:09.020028
POL100154,25056,Agent/Broker,Property,Central,2025-10-09 12:00:00,20361.99,Issued,59.19,,2025-10-11 23:11:21.769603
POL100155,52482,Mobile App,Property,South,2025-12-04 03:00:00,10664.92,Issued,17.8,,2025-12-04 20:48:07.330614
POL100156,67716,Call Center,Health,Central,2025-07-31 00:00:00,14146.75,Issued,43.84,,2025-08-01 19:50:15.906203
POL100157,28110,Mobile App,Life,East,2025-12-06 02:00:00,35351.58,Issued,26.26,,2025-12-07 04:15:37.436599
POL100158,33773,Mobile App,Health,East,2025-02-28 10:00:00,9817.22,Failed,,KYC Verification Failed,
POL100159,47266,Agent/Broker,Health,South,2025-06-11 05:00:00,9509.51,Issued,73.02,,2025-06-14 06:01:21.109066
POL100160,72992,Agent/Broker,Auto,South,2025-06-08 02:00:00,11998.63,Issued,50.04,,2025-06-10 04:02:28.493934
POL100161,37412,Mobile App,Health,Central,2025-06-09 09:00:00,16329.21,Failed,,Incomplete Application,
POL100162,76537,Online,Property,North,2025-11-09 08:00:00,18869.02,Issued,31.04,,2025-11-10 15:02:23.207639
POL100163,53270,Mobile App,Life,South,2025-02-15 15:00:00,25479.62,Issued,25.62,,2025-02-16 16:36:59.985012
POL100164,26910,Call Center,Life,North,2025-12-10 23:00:00,34579.26,Issued,64.98,,2025-12-13 15:58:30.254001
POL100165,65453,Agent/Broker,Auto,North,2025-05-03 21:00:00,11505.75,Issued,10.85,,2025-05-04 07:51:11.437843
POL100166,45446,Agent/Broker,Auto,North,2025-06-07 03:00:00,10287.41,Issued,21.58,,2025-06-08 00:35:05.687678
POL100167,76090,Online,Auto,East,2025-10-09 17:00:00,8147.81,Issued,48.63,,2025-10-11 17:37:47.386460
POL100168,73640,Mobile App,Auto,East,2025-05-10 09:00:00,9334.64,Issued,11.2,,2025-05-10 20:11:44.168665
POL100169,20206,Mobile App,Health,North,2025-12-30 06:00:00,9345.77,Failed,,Document Mismatch,
POL100170,41518,Agent/Broker,Auto,North,2025-06-04 15:00:00,6611.33,Issued,52.4,,2025-06-06 19:24:16.904240
POL100171,42361,Online,Health,East,2025-11-01 13:00:00,15917.16,Issued,38.88,,2025-11-03 03:52:53.230409
POL100172,76873,Call Center,Health,Central,2025-09-05 20:00:00,8681.43,Issued,46.06,,2025-09-07 18:03:47.206431
POL100173,43419,Mobile App,Auto,West,2025-11-17 01:00:00,5914.85,Issued,22.09,,2025-11-17 23:05:36.348818
POL100174,70636,Online,Auto,South,2025-07-25 05:00:00,8851.35,Issued,37.6,,2025-07-26 18:35:45.636477
POL100175,77010,Online,Property,North,2025-12-01 03:00:00,12546.35,Failed,,Document Mismatch,
POL100176,68702,Online,Auto,East,2025-09-10 23:00:00,7479.71,Issued,24.38,,2025-09-11 23:22:34.001600
POL100177,70015,Mobile App,Auto,North,2025-11-12 08:00:00,8152.52,Issued,17.99,,2025-11-13 01:59:28.904179
POL100178,71942,Online,Life,North,2025-01-15 04:00:00,27945.11,Issued,21.51,,2025-01-16 01:30:18.071405
POL100179,76560,Online,Property,North,2025-09-19 10:00:00,13902.42,Issued,3.18,,2025-09-19 13:10:40.884691
POL100180,61523,Agent/Broker,Life,North,2025-02-14 11:00:00,27170.93,Issued,52.43,,2025-02-16 15:25:37.480859
POL100181,74268,Online,Auto,Central,2025-06-29 11:00:00,7972.38,Issued,64.13,,2025-07-02 03:07:46.968677
POL100182,65151,Online,Auto,South,2025-04-16 02:00:00,6118.6,Issued,37.5,,2025-04-17 15:29:57.971256
POL100183,42403,Mobile App,Property,South,2025-11-18 19:00:00,20905.53,Issued,8.6,,2025-11-19 03:36:04.640779
POL100184,38141,Mobile App,Life,East,2025-07-09 20:00:00,23127.32,Issued,1.0,,2025-07-09 21:00:00.000000
POL100185,34820,Agent/Broker,Health,Central,2025-05-09 20:00:00,14249.98,Issued,29.79,,2025-05-11 01:47:35.829156
POL100186,60342,Mobile App,Auto,Central,2025-07-24 09:00:00,9246.72,Issued,18.72,,2025-07-25 03:43:07.759620
POL100187,26374,Agent/Broker,Auto,South,2025-04-19 21:00:00,6874.67,Issued,20.57,,2025-04-20 17:34:17.903781
POL100188,76044,Mobile App,Auto,East,2025-10-12 04:00:00,5791.73,Issued,36.09,,2025-10-13 16:05:23.500487
POL100189,21678,Online,Health,Central,2025-05-19 18:00:00,16626.54,Issued,16.4,,2025-05-20 10:24:10.416862
POL100190,72394,Online,Auto,East,2025-02-05 09:00:00,8785.22,Issued,39.29,,2025-02-07 00:17:20.721121
POL100191,73788,Mobile App,Property,South,2025-07-03 08:00:00,15473.61,Issued,13.0,,2025-07-03 21:00:04.402508
POL100192,53827,Mobile App,Auto,North,2025-05-15 17:00:00,10482.63,Issued,17.19,,2025-05-16 10:11:26.795836
POL100193,75820,Agent/Broker,Life,Central,2025-05-17 05:00:00,18163.18,Issued,65.62,,2025-05-19 22:37:29.295900
POL100194,36198,Mobile App,Auto,East,2025-07-17 12:00:00,10497.38,Issued,13.2,,2025-07-18 01:11:59.442734
POL100195,29914,Mobile App,Health,North,2025-03-20 08:00:00,12325.58,Issued,19.01,,2025-03-21 03:00:28.630901
POL100196,47890,Online,Auto,South,2025-03-28 16:00:00,9130.39,Failed,,KYC Verification Failed,
POL100197,72309,Online,Life,West,2025-08-12 04:00:00,32548.78,Issued,36.67,,2025-08-13 16:39:55.535791
POL100198,42299,Mobile App,Health,Central,2025-07-14 15:00:00,13649.38,Issued,12.22,,2025-07-15 03:13:03.392962
POL100199,63585,Mobile App,Auto,Central,2025-05-10 19:00:00,5995.34,Issued,16.82,,2025-05-11 11:49:00.242125
POL100200,63689,Mobile App,Life,East,2025-02-10 18:00:00,32072.02,Issued,23.75,,2025-02-11 17:45:01.025105
POL100201,62557,Online,Health,South,2025-01-14 13:00:00,15948.88,Failed,,Duplicate Policy,
POL100202,69080,Agent/Broker,Property,South,2025-08-20 16:00:00,16042.72,Issued,59.05,,2025-08-23 03:03:14.546425
POL100203,64020,Call Center,Property,Central,2025-01-27 16:00:00,15768.71,Issued,69.32,,2025-01-30 13:19:01.698701
POL100204,22693,Online,Property,Central,2025-11-25 03:00:00,13523.11,Issued,23.49,,2025-11-26 02:29:22.401419
POL100205,49467,Mobile App,Auto,East,2025-01-10 03:00:00,9722.64,Pending,,,
POL100206,49723,Call Center,Auto,East,2025-03-26 04:00:00,11244.73,Issued,74.05,,2025-03-29 06:03:14.380131
POL100207,66699,Online,Property,West,2025-01-02 14:00:00,18371.62,Failed,,Duplicate Policy,
POL100208,23627,Mobile App,Health,North,2025-03-30 08:00:00,15804.72,Issued,49.02,,2025-04-01 09:00:59.227708
POL100209,45939,Online,Auto,East,2025-01-30 08:00:00,10959.72,Issued,40.82,,2025-02-01 00:49:13.059959
POL100210,68925,Mobile App,Life,North,2025-05-09 23:00:00,22022.88,Pending,,,
POL100211,62941,Online,Auto,Central,2025-11-08 11:00:00,8173.47,Issued,15.92,,2025-11-09 02:55:12.356495
POL100212,41834,Call Center,Life,West,2025-11-13 12:00:00,26219.19,Issued,72.23,,2025-11-16 12:13:30.173996
POL100213,38047,Agent/Broker,Life,West,2025-05-18 16:00:00,28678.01,Issued,93.13,,2025-05-22 13:07:44.052751
POL100214,46105,Agent/Broker,Life,West,2025-06-23 16:00:00,18483.64,Issued,14.18,,2025-06-24 06:11:00.829415
POL100215,30230,Agent/Broker,Auto,South,2025-08-31 02:00:00,9365.81,Issued,69.85,,2025-09-02 23:50:43.785815
POL100216,35707,Mobile App,Health,Central,2025-04-10 10:00:00,9249.81,Issued,3.7,,2025-04-10 13:41:48.656562
POL100217,41976,Mobile App,Health,South,2025-07-27 12:00:00,16143.07,Failed,,KYC Verification Failed,
POL100218,64262,Call Center,Health,South,2025-10-01 10:00:00,17645.01,Pending,,,
POL100219,79581,Call Center,Auto,West,2025-09-24 08:00:00,7454.46,Issued,52.81,,2025-09-26 12:48:21.674096
POL100220,43776,Mobile App,Health,South,2025-09-07 22:00:00,13263.51,Issued,11.47,,2025-09-08 09:28:07.147475
POL100221,50080,Call Center,Health,Central,2025-04-06 01:00:00,16302.6,Issued,110.3,,2025-04-10 15:17:59.833207
POL100222,21306,Mobile App,Health,Central,2025-04-14 15:00:00,11420.68,Failed,,Document Mismatch,
POL100223,26776,Mobile App,Life,South,2025-05-17 03:00:00,20655.55,Issued,34.05,,2025-05-18 13:02:45.685594
POL100224,47251,Mobile App,Health,Central,2025-06-22 01:00:00,15495.0,Issued,18.08,,2025-06-22 19:05:00.711062
POL100225,75016,Online,Auto,North,2025-04-29 17:00:00,10069.51,Issued,21.44,,2025-04-30 14:26:20.655229
POL100226,29474,Online,Health,South,2025-04-30 21:00:00,13871.48,Issued,28.54,,2025-05-02 01:32:27.910191
POL100227,60294,Online,Life,West,2025-05-29 09:00:00,36388.74,Issued,14.85,,2025-05-29 23:51:09.246738
POL100228,78053,Mobile App,Auto,West,2025-12-09 22:00:00,11712.78,Pending,,,
POL100229,41959,Mobile App,Health,Central,2025-01-04 05:00:00,16670.87,Failed,,Duplicate Policy,
POL100230,25530,Mobile App,Auto,Central,2025-01-26 09:00:00,7475.33,Issued,3.82,,2025-01-26 12:49:20.609747
POL100231,49320,Call Center,Auto,West,2025-04-23 04:00:00,7042.34,Issued,62.1,,2025-04-25 18:06:12.590763
POL100232,73565,Mobile App,Property,North,2025-08-17 07:00:00,20528.89,Issued,10.63,,2025-08-17 17:37:32.027028
